TURNO_MATRICULA,SITUACAO_CIVIL_ALUNO,SEXO_ALUNO,DATA_CADASTRO_REQUERIMENTO,MOTIVO_REQUERIMENTO,TURMA,AREA_TURMA
Matutino,Solteiro(a),Feminino,02/09/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO - VN,Design
Noturno,Solteiro(a),Masculino,31/08/2019,Motivo de Saúde,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - IV MÓDULO,Informática
Noturno,Solteiro(a),Feminino,30/08/2019,Não se identificou com o curso,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Solteiro(a),Masculino,30/08/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,29/08/2019,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO II,Gestäo
Noturno,Solteiro(a),Masculino,29/08/2019,Motivo de Viagens,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
Matutino,Solteiro(a),Feminino,29/08/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO - VN,Design
Noturno,Solteiro(a),Masculino,28/08/2019,Mudança de Município,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - IV MÓDULO,Design
Noturno,Solteiro(a),Masculino,28/08/2019,Motivo de Saúde,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Solteiro(a),Feminino,26/08/2019,Motivo de Saúde,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Matutino,Casado(a),Feminino,23/08/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Estética e Cosmética - Módulo I,Saúde
Noturno,Solteiro(a),Masculino,22/08/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Logística - Módulo I,Gestäo
Noturno,Solteiro(a),Masculino,22/08/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Logística - Módulo I,Gestäo
Noturno,Casado(a),Masculino,22/08/2019,Cancelamento da Programação,Superior de Tecnologia em Design Gráfico - I Módulo,Design
Noturno,Solteiro(a),Masculino,22/08/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Solteiro(a),Feminino,21/08/2019,Motivo de Viagens,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Solteiro(a),Feminino,19/08/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
Noturno,Solteiro(a),Feminino,17/08/2019,Cancelamento da Programação,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO II,Saúde
Noturno,Solteiro(a),Masculino,12/08/2019,Motivo de Viagens,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
Noturno,Casado(a),Masculino,12/08/2019,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - IV MÓDULO,Informática
Noturno,Casado(a),Masculino,12/08/2019,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - IV MÓDULO,Informática
Noturno,Solteiro(a),Feminino,09/08/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
Noturno,Solteiro(a),Feminino,09/08/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - II MÓDULO,Design
Noturno,Solteiro(a),Masculino,26/07/2019,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - II MÓDULO,Informática
Noturno,Casado(a),Feminino,13/07/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Solteiro(a),Feminino,30/05/2019,Motivo de Saúde,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Feminino,28/05/2019,Não se identificou com o curso,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO I,Saúde
Noturno,Solteiro(a),Masculino,17/05/2019,Não se identificou com o curso,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Solteiro(a),Masculino,13/05/2019,Não se identificou com o curso,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Solteiro(a),Masculino,02/05/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM JOGOS DIGITAIS - II MÓDULO,Informática
Noturno,Solteiro(a),Masculino,02/05/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM JOGOS DIGITAIS - II MÓDULO,Informática
Noturno,Solteiro(a),Masculino,30/04/2019,Outros Motivos,Superior de Tecnologia em Segurança da Informação - I Módulo,Informática
Noturno,Casado(a),Masculino,30/04/2019,Motivo de Viagens,Superior de Tecnologia em Segurança da Informação - I Módulo,Informática
Matutino,Solteiro(a),Masculino,29/04/2019,Motivo de Saúde,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
Noturno,Casado(a),Feminino,24/04/2019,Adiamento da Programação,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO I,Saúde
Noturno,Solteiro(a),Masculino,24/04/2019,Motivo de Trabalho,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Casado(a),Masculino,23/04/2019,Não se identificou com o curso,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Solteiro(a),Masculino,23/04/2019,Não se identificou com o curso,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Solteiro(a),Masculino,22/04/2019,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
Noturno,Solteiro(a),Masculino,17/04/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - V MÓDULO,Informática
Noturno,Solteiro(a),Masculino,11/04/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO III,Informática
Matutino,Solteiro(a),Masculino,10/04/2019,Mudança de Município,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - III MÓDULO,Design
Noturno,Casado(a),Masculino,09/04/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
Noturno,Outros,Masculino,09/04/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - III MÓDULO ,Informática
Noturno,Solteiro(a),Feminino,05/04/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - V MÓDULO,Design
Noturno,Solteiro(a),Feminino,04/04/2019,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Feminino,03/04/2019,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,02/04/2019,Dificuldades Financeiras,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
Noturno,Solteiro(a),Masculino,01/04/2019,Dificuldades Financeiras,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
Noturno,Solteiro(a),Masculino,01/04/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO III,Informática
Noturno,Solteiro(a),Masculino,01/04/2019,Mudança de Município,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
Noturno,Solteiro(a),Masculino,01/04/2019,Dificuldades Financeiras,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
Noturno,Casado(a),Masculino,30/03/2019,Outros Motivos,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Casado(a),Masculino,30/03/2019,Outros Motivos,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,26/03/2019,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,26/03/2019,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Matutino,Solteiro(a),Masculino,26/03/2019,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO - VN,Design
Matutino,Solteiro(a),Masculino,26/03/2019,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO - VN,Design
Noturno,Solteiro(a),Masculino,23/03/2019,Incompatibilidade de horário,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,23/03/2019,Motivo de Trabalho,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Matutino,Solteiro(a),Feminino,22/03/2019,Cancelamento da Programação,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO I,Saúde
Matutino,Solteiro(a),Feminino,22/03/2019,Cancelamento da Programação,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO I,Saúde
Noturno,Solteiro(a),Masculino,22/03/2019,Motivo de Trabalho,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Casado(a),Masculino,22/03/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO III,Informática
Noturno,Solteiro(a),Masculino,21/03/2019,Incompatibilidade de horário,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,21/03/2019,Não se identificou com o curso,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Solteiro(a),Masculino,20/03/2019,Não se identificou com o curso,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Casado(a),Feminino,20/03/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Solteiro(a),Feminino,19/03/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
Noturno,Solteiro(a),Feminino,19/03/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
Noturno,Solteiro(a),Masculino,19/03/2019,Não se identificou com o curso,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
Noturno,Solteiro(a),Masculino,18/03/2019,Não se identificou com o curso,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
Noturno,Solteiro(a),Masculino,11/03/2019,Outros Motivos,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Casado(a),Masculino,11/03/2019,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
Noturno,Casado(a),Masculino,11/03/2019,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO,Design
Noturno,Solteiro(a),Masculino,08/03/2019,Outros Motivos,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Solteiro(a),Masculino,08/03/2019,Motivo de Trabalho,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Solteiro(a),Masculino,08/03/2019,Motivo de Trabalho,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Solteiro(a),Masculino,08/03/2019,Outros Motivos,Superior de Tecnologia em Segurança da Informação - I Módulo,Informática
Noturno,Solteiro(a),Masculino,07/03/2019,Outros Motivos,Superior de Tecnologia em Segurança da Informação - I Módulo,Informática
Noturno,Solteiro(a),Masculino,06/03/2019,Outros Motivos,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Matutino,Solteiro(a),Feminino,02/03/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Matutino,Solteiro(a),Feminino,28/02/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Matutino,Solteiro(a),Feminino,28/02/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Noturno,Solteiro(a),Masculino,28/02/2019,Motivo de Estudo,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Noturno,Solteiro(a),Masculino,28/02/2019,Motivo de Trabalho,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
Noturno,Casado(a),Masculino,27/02/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Noturno,Casado(a),Masculino,27/02/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Noturno,Solteiro(a),Masculino,27/02/2019,Motivo de Trabalho,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
Noturno,Divorciado(a),Masculino,26/02/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Matutino,Solteiro(a),Masculino,26/02/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO - VN,Design
Matutino,Solteiro(a),Masculino,26/02/2019,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO I - VN,Informática
Matutino,Solteiro(a),Masculino,26/02/2019,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO I - VN,Informática
Noturno,Solteiro(a),Masculino,26/02/2019,Distância / meio de transporte,Superior de Tecnologia em Segurança da Informação - I Módulo,Informática
Matutino,Solteiro(a),Masculino,25/02/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Noturno,Divorciado(a),Masculino,25/02/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Noturno,Casado(a),Masculino,25/02/2019,Cancelamento de matr¿cula,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
Matutino,Solteiro(a),Masculino,25/02/2019,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO I - VN,Informática
Matutino,Solteiro(a),Masculino,25/02/2019,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO I - VN,Informática
Matutino,Solteiro(a),Masculino,25/02/2019,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO I - VN,Informática
Matutino,Solteiro(a),Masculino,25/02/2019,Não se identificou com o curso,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO I - VN,Informática
Matutino,Solteiro(a),Masculino,25/02/2019,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO I - VN,Informática
Matutino,Solteiro(a),Masculino,25/02/2019,Cancelamento da Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - MÓDULO I - VN,Informática
Matutino,Solteiro(a),Masculino,25/02/2019,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
Noturno,Solteiro(a),Masculino,25/02/2019,Distância / meio de transporte,Superior de Tecnologia em Segurança da Informação - I Módulo,Informática
Noturno,Solteiro(a),Masculino,25/02/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - III MÓDULO,Informática
Matutino,Solteiro(a),Feminino,22/02/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Matutino,Solteiro(a),Feminino,22/02/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Matutino,Solteiro(a),Masculino,22/02/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Noturno,Solteiro(a),Masculino,22/02/2019,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
Noturno,Solteiro(a),Masculino,22/02/2019,Motivo de Estudo,Superior de Tecnologia em Análise e Desenvolvimento de Sistemas - Módulo I,Informática
Matutino,Solteiro(a),Masculino,22/02/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO - VN,Design
Matutino,Solteiro(a),Masculino,22/02/2019,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
Noturno,Divorciado(a),Feminino,21/02/2019,Adiamento da Programação,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO I,Saúde
Noturno,Solteiro(a),Feminino,21/02/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Matutino,Solteiro(a),Masculino,21/02/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Matutino,Solteiro(a),Masculino,21/02/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Noturno,Divorciado(a),Feminino,21/02/2019,Não se identificou com o curso,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,21/02/2019,Motivo de Trabalho,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO I,Gestäo
Noturno,Solteiro(a),Feminino,21/02/2019,Não se identificou com o curso,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
Noturno,Solteiro(a),Masculino,21/02/2019,Não se identificou com o curso,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
Noturno,Solteiro(a),Masculino,21/02/2019,Transferência de Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - V MÓDULO,Informática
Noturno,Solteiro(a),Masculino,21/02/2019,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
Noturno,Solteiro(a),Masculino,21/02/2019,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
Noturno,Solteiro(a),Masculino,21/02/2019,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
Noturno,Solteiro(a),Feminino,20/02/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Noturno,Solteiro(a),Feminino,20/02/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Noturno,Divorciado(a),Feminino,20/02/2019,Não se identificou com o curso,CURSO SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - I MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,20/02/2019,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
Noturno,Solteiro(a),Masculino,20/02/2019,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
Noturno,Divorciado(a),Feminino,19/02/2019,Adiamento da Programação,CURSO SUPERIOR DE TECNOLOGIA EM ESTÉTICA E COSMÉTICA - MÓDULO I,Saúde
Noturno,Solteiro(a),Feminino,19/02/2019,Não se identificou com o curso,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
Noturno,Solteiro(a),Masculino,19/02/2019,Não se identificou com o curso,Superior de Tecnologia em Gestão da Tecnologia da Informação - Módulo I,Informática
Noturno,Solteiro(a),Masculino,19/02/2019,Transferência de Programação,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - V MÓDULO,Informática
Noturno,Solteiro(a),Masculino,19/02/2019,Cancelamento da Programação,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
Noturno,Solteiro(a),Feminino,18/02/2019,Cancelamento da Programação,Curso Superior de Tecnologia em Fotografia - I Módulo ,Artes
Matutino,Solteiro(a),Feminino,18/02/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO - VN,Design
Matutino,Solteiro(a),Feminino,18/02/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - I MÓDULO - VN,Design
Noturno,Casado(a),Masculino,18/02/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - IV MÓDULO,Informática
Noturno,Solteiro(a),Masculino,13/02/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO II,Informática
Noturno,Solteiro(a),Masculino,13/02/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Casado(a),Feminino,12/02/2019,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Matutino,Solteiro(a),Masculino,11/02/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM DESIGN GRÁFICO - III MÓDULO,Design
Noturno,Solteiro(a),Masculino,11/02/2019,Outros Motivos,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - V MÓDULO,Informática
Noturno,Solteiro(a),Masculino,07/02/2019,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - MÓDULO III,Informática
Noturno,Solteiro(a),Feminino,01/02/2019,Mudança de Município,SUPERIOR DE TECNOLOGIA EM JOGOS DIGITAIS - II MÓDULO,Informática
Noturno,Solteiro(a),Feminino,28/01/2019,Mudança de Município,SUPERIOR DE TECNOLOGIA EM JOGOS DIGITAIS - II MÓDULO,Informática
Noturno,Solteiro(a),Masculino,28/01/2019,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM JOGOS DIGITAIS - II MÓDULO,Informática
Noturno,Solteiro(a),Masculino,23/01/2019,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM JOGOS DIGITAIS - II MÓDULO,Informática
Matutino,Solteiro(a),Masculino,08/01/2019,Outros Motivos,Superior de Tecnologia em Gestão da Tecnologia da Informação - I Módulo,Informática
Noturno,Solteiro(a),Masculino,03/12/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM GESTÃO COMERCIAL - II MÓDULO,Gestäo
Noturno,Solteiro(a),Masculino,30/11/2018,Motivo de Estudo,SUPERIOR DE TECNOLOGIA EM GESTÃO DA TECNOLOGIA DA INFORMAÇÃO - IV MÓDULO,Informática
Noturno,Solteiro(a),Masculino,29/11/2018,Motivo de Trabalho,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
Noturno,Casado(a),Masculino,21/11/2018,Outros Motivos,Superior de Tecnologia em Jogos Digitais - I Módulo,Informática
Noturno,Solteiro(a),Masculino,07/11/2018,Motivo de Trabalho,SUPERIOR DE TECNOLOGIA EM SEGURANÇA DA INFORMAÇÃO - IV MÓDULO,Informática
Noturno,Solteiro(a),Masculino,31/10/2018,Outros Motivos,CURSO SUPERIOR DE TECNOLOGIA EM LOGÍSTICA - MÓDULO II,Gestäo
